Filler,Anova (p),Log^2 FX/Ctl,p-Value
g1,0.000673042,-3.320167673,3.171957834
g2,0.001442404,-0.311494014,2.840913082
g3,0.001680965,-5.133571199,2.774441329
g4,0.00309731,1.308667426,2.509015325
g5,0.003405431,3.616087179,2.467827915
g6,0.003439979,-2.47600503,2.463444209
g7,0.003712819,3.28363709,2.430296222
g8,0.004338983,1.582097025,2.362612051
g9,0.004739981,-6.707244547,2.324223399
g10,0.005606168,-3.290427494,2.251333892
g11,0.006251433,-0.443033374,2.204020419
g12,0.006501291,5.739560207,2.187000394
g13,0.008086043,-3.297455828,2.092263954
g14,0.00979475,0.492311416,2.009006644
g15,0.010288161,0.209532754,1.987662248
g16,0.010545648,1.029746868,1.976926729
g17,0.010906538,1.158741119,1.962313083
g18,0.011151815,2.824473193,1.952654444
g19,0.011744825,0.838428289,1.93015345
g20,0.011836901,-2.798518983,1.926761985
g21,0.011911226,1.05138459,1.924043535
g22,0.012465545,7.871593744,1.904288729
g23,0.012595057,3.21769866,1.899799863
g24,0.012638326,-2.956208464,1.898310446
g25,0.013248861,1.28288707,1.877821456
g26,0.014719291,-6.613221174,1.832113109
g27,0.014728655,-1.237526382,1.831836911
g28,0.016289106,-1.779813025,1.788102751
g29,0.016759843,-2.986747524,1.775730054
g30,0.01716592,-1.505204511,1.765332916
g31,0.017518247,1.725143759,1.756509355
g32,0.018225528,-1.576204202,1.739319881
g33,0.018247678,1.944129785,1.738792391
g34,0.01957274,0.480332824,1.708348373
g35,0.020766149,-5.238189802,1.682644034
g36,0.021048044,-2.667044834,1.676788257
g37,0.021254399,0.909757839,1.672551171
g38,0.022267596,-1.642434249,1.652326667
g39,0.023187362,-5.913599641,1.634748658
g40,0.023542243,-0.87109462,1.628152162
g41,0.026783375,5.339990702,1.572134698
g42,0.026864992,-2.002289093,1.570813284
g43,0.02751129,3.112489034,1.560489045
g44,0.027552553,-0.674476525,1.559838154
g45,0.027730124,-2.511593375,1.557048188
g46,0.027794171,-0.634499875,1.556046275
g47,0.030225779,-1.233490651,1.519622497
g48,0.030468243,-0.479428455,1.516152589
g49,0.03046865,-0.479428454,1.516146788
g50,0.031123352,-2.205877229,1.506913635
g51,0.031190328,-0.848194873,1.505980058
g52,0.031494821,-2.041548001,1.501760856
g53,0.032180387,0.755257557,1.492408737
g54,0.032920077,-1.95328047,1.482539158
g55,0.034013036,-3.45562499,1.468354601
g56,0.034714107,-3.1168712,1.459494002
g57,0.034899321,-0.958753932,1.457183023
g58,0.035524849,0.355493743,1.449467759
g59,0.035785022,1.756476363,1.446298711
g60,0.038909917,-0.837010964,1.409939696
g61,0.039127799,-1.725919147,1.407514581
g62,0.039386785,1.980441453,1.404649468
g63,0.039476738,0.496860202,1.403658741
g64,0.039675011,-0.459645706,1.401482944
g65,0.040506246,-0.563086162,1.392478004
g66,0.04065011,0.895521712,1.390938275
g67,0.041003121,-1.77479865,1.387183085
g68,0.041140646,-0.504479242,1.385728893
g69,0.042078219,-1.402388593,1.37594265
g70,0.042256853,0.146964812,1.374102849
g71,0.04260952,-2.773873839,1.370493358
g72,0.042654709,1.840026158,1.370033017
g73,0.046116205,-1.806498466,1.336146439
g74,0.046567704,0.489055606,1.331915174
g75,0.046687365,-4.253684934,1.330800637
g76,0.046895756,-1.440410216,1.328866459
g77,0.047122915,0.595218367,1.326767852
g78,0.048680341,-0.730908974,1.312646388
g79,0.049351974,1.259395793,1.306695472
g80,0.050328957,1.712648411,1.29818207
g81,0.052149617,-0.479115874,1.282748877
g82,0.052634326,0.671852116,1.278730934
g83,0.052806281,0.280309113,1.277314418
g84,0.053165716,-3.409266066,1.274368333
g85,0.054234906,0.522318708,1.265721108
g86,0.055288039,0.986104263,1.257368814
g87,0.056134458,-0.806810423,1.250770466
g88,0.05645024,-4.178823471,1.248334207
g89,0.05648525,0.51672369,1.248064945
g90,0.056800679,-0.844278476,1.245646473
g91,0.057197927,0.9843442,1.242619711
g92,0.057706115,-2.524078692,1.238778163
g93,0.057761499,2.312377381,1.238361545
g94,0.05789676,-1.656961798,1.237345739
g95,0.058118282,-0.597678608,1.235687232
g96,0.059586643,-0.641972844,1.224851081
g97,0.059739303,-1.97505183,1.223739849
g98,0.059913985,-1.748532238,1.222471794
g99,0.059999454,-1.821088348,1.221852702
g100,0.060602957,0.606020181,1.217506185
g101,0.060835158,-1.423735469,1.21584536
g102,0.061424854,-2.291254484,1.211655867
g103,0.061916013,-1.791134,1.208197017
g104,0.062272653,0.284349694,1.205702632
g105,0.06229091,0.183231736,1.205575325
g106,0.062383961,1.177670025,1.204927054
g107,0.063658253,0.378798599,1.196145284
g108,0.063669924,0.382242582,1.196065669
g109,0.064369866,-2.490097451,1.191317395
g110,0.064915622,1.689929995,1.187650777
g111,0.066273873,0.451544148,1.178657649
g112,0.066399268,-1.636420455,1.177836708
g113,0.066989595,-6.260326381,1.173992648
g114,0.067042527,4.217948884,1.173649624
g115,0.067138157,2.746107015,1.173030585
g116,0.068094517,-2.295333339,1.166887856
g117,0.069953851,-3.452626642,1.155188372
g118,0.070901376,-0.661413564,1.149345336
g119,0.071070144,2.419278323,1.148312805
g120,0.071080768,0.629280407,1.148247888
g121,0.073760989,-0.948529663,1.132173269
g122,0.074229829,-2.347533494,1.12942154
g123,0.074549748,2.688825764,1.12755382
g124,0.074978202,-4.328806592,1.125064978
g125,0.075219992,0.973423064,1.123666717
g126,0.07542025,0.541365168,1.122512032
g127,0.075559393,-0.671216188,1.12171154
g128,0.076071581,-1.395068409,1.118777558
g129,0.076526977,-2.636536581,1.116185442
g130,0.077736221,1.298725133,1.109376576
g131,0.078205899,-2.950882772,1.106760487
g132,0.080836865,-0.749298621,1.092390538
g133,0.080924417,-2.17604603,1.091920421
g134,0.082856322,-2.570948412,1.081674349
g135,0.083129176,-1.967467499,1.080246524
g136,0.083600904,-1.018550986,1.077789026
g137,0.083788551,-1.49367444,1.07681532
g138,0.08393588,-2.037090563,1.076052352
g139,0.084400721,0.502601685,1.073653843
g140,0.085316067,-2.206007961,1.068969173
g141,0.086171479,0.872001414,1.064636453
g142,0.086588294,2.02158641,1.062540817
g143,0.086910548,-1.74558724,1.060927512
g144,0.087505112,-1.103644675,1.057966575
g145,0.087970559,1.487385222,1.055662648
g146,0.088060219,1.755167001,1.055220239
g147,0.088991296,-0.070431416,1.050652468
g148,0.08925794,-0.762908172,1.049353141
g149,0.08998434,-2.387281628,1.045833064
g150,0.090545437,-3.047446647,1.043133431
g151,0.092378905,-2.686691858,1.03442719
g152,0.092842512,-0.991888656,1.032253118
g153,0.092951389,-0.328904698,1.031744116
g154,0.093800329,-0.277090932,1.027795638
g155,0.094489974,1.354533779,1.024614271
g156,0.094555581,0.7167737,1.024312832
g157,0.094817359,-0.882497782,1.023112145
g158,0.095288836,0.895743835,1.020957978
g159,0.095715292,-0.284909311,1.019018671
g160,0.09586111,1.54222547,1.018357547
g161,0.09586408,-1.252527535,1.018344091
g162,0.095944604,0.613241373,1.017979445
g163,0.096976326,-1.304027798,1.013334273
g164,0.09764988,-2.818717707,1.010328286
g165,0.098103673,-1.524251541,1.008314732
g166,0.100259852,-2.101392649,0.998872941
g167,0.100554527,-0.124432504,0.997598373
g168,0.100633194,-2.395470782,0.997258743
g169,0.101536075,1.370893372,0.993379629
g170,0.102110129,-0.915183378,0.990931175
g171,0.102330014,-0.925678765,0.989996966
g172,0.102719775,-1.616626816,0.988345941
g173,0.103171181,-0.471324211,0.986441598
g174,0.103251772,0.786510652,0.986102486
g175,0.104445394,0.284741061,0.981110707
g176,0.10540424,2.731940346,0.977141919
g177,0.106189269,-2.839134753,0.973919369
g178,0.106615571,2.000947501,0.972179363
g179,0.106918446,-0.489022009,0.970947362
g180,0.108636265,-0.673639415,0.964025174
g181,0.108781257,0.504596568,0.963445927
g182,0.108811779,0.527360965,0.963324089
g183,0.109009518,-3.494926172,0.962535581
g184,0.109791661,-2.494482537,0.959430645
g185,0.110359782,-0.5391513,0.957189166
g186,0.110592804,5.183726545,0.956273131
g187,0.111065531,-1.002252196,0.954420703
g188,0.11134606,-1.704629814,0.953325146
g189,0.111865403,-2.363919861,0.951304208
g190,0.112063838,0.723776893,0.950534508
g191,0.11262086,-0.392267033,0.948381161
g192,0.112841325,1.682662286,0.947531823
g193,0.113177942,2.787580156,0.946238207
g194,0.113274245,1.444771149,0.945868824
g195,0.113851563,-0.433142416,0.943661003
g196,0.114379661,-0.859031871,0.941651195
g197,0.114434613,0.633010304,0.941442595
g198,0.114458906,0.854159958,0.941350409
g199,0.114756217,0.993952445,0.940223777
g200,0.114958516,-3.995816103,0.939458851
g201,0.115073729,-1.840250147,0.939023813
g202,0.1150889,1.127574282,0.938966561
g203,0.115910999,-0.361859919,0.935875351
g204,0.116161988,-4.071973389,0.934935964
g205,0.11676799,-0.94300295,0.932676196
g206,0.117488151,1.652837862,0.930005931
g207,0.119468331,0.434909999,0.922747203
g208,0.11976129,1.008107303,0.921683535
g209,0.119803084,-0.74184436,0.921532002
g210,0.120928163,2.497870692,0.917472544
g211,0.12096954,1.600607525,0.917323971
g212,0.121044564,0.7540935,0.91705471
g213,0.121915788,-0.573955201,0.91394005
g214,0.122002377,1.412898202,0.913631708
g215,0.12270516,-1.166698835,0.911137174
g216,0.122721077,2.635088888,0.911080842
g217,0.12329986,-1.024035341,0.909037417
g218,0.123539252,0.453158197,0.908195033
g219,0.123763024,1.048026758,0.907409088
g220,0.124048319,-0.79410828,0.906409117
g221,0.124110442,-0.534885696,0.906191678
g222,0.124604757,-1.955527808,0.904465377
g223,0.124808039,1.024282529,0.90375744
g224,0.125365548,-4.727387587,0.901821797
g225,0.125573946,-0.889787565,0.901100458
g226,0.126931279,1.475192116,0.896431344
g227,0.128212993,-1.977650234,0.892067962
g228,0.128256257,-1.022527075,0.891921439
g229,0.129534962,1.633600786,0.887612998
g230,0.129561216,-1.566753544,0.887524985
g231,0.13035555,0.893474534,0.884870474
g232,0.130400759,-1.713052021,0.884719881
g233,0.1309241,-0.833899767,0.882980403
g234,0.130948017,-2.376157878,0.882901074
g235,0.131305132,-4.369787528,0.881718299
g236,0.131529907,1.338745099,0.880975487
g237,0.131933919,-0.979071931,0.879643537
g238,0.132055998,-0.658171391,0.879241868
g239,0.133260803,-4.089703727,0.875297574
g240,0.133471967,1.598899413,0.874609939
g241,0.13353303,-1.444354194,0.874411296
g242,0.133677649,-2.433647798,0.873941201
g243,0.133752465,-5.779045096,0.873698205
g244,0.13434428,-1.339729007,0.87178082
g245,0.134559471,-1.335985216,0.871085729
g246,0.135449195,-1.152531794,0.868223572
g247,0.135478388,-3.705949569,0.868129979
g248,0.135646411,1.439847363,0.867591693
g249,0.136167519,-1.675973282,0.865926475
g250,0.13624117,1.890533749,0.865691635
g251,0.136573076,0.701563279,0.864634909
g252,0.136685355,-1.039879103,0.864278015
g253,0.136745362,-4.101918873,0.864087395
g254,0.138200778,-3.303055186,0.859489512
g255,0.138435907,-1.942125292,0.85875125
g256,0.138679088,2.39918204,0.857989023
g257,0.138826214,-4.187975033,0.85752852
g258,0.139180545,1.345669369,0.856421467
g259,0.139298554,-2.027093225,0.856053392
g260,0.139633361,-0.927363792,0.855010808
g261,0.140030548,-1.874717703,0.853777212
g262,0.140945344,0.810903845,0.850949266
g263,0.140980192,2.110325744,0.850841902
g264,0.14098302,-1.83440858,0.850833191
g265,0.141213286,-0.933810021,0.850124441
g266,0.141434435,0.698049412,0.84944484
g267,0.142734585,0.867920708,0.845470783
g268,0.142793716,-2.98442902,0.845290904
g269,0.142964433,-0.807679243,0.844771994
g270,0.143103942,-1.252626801,0.844348403
g271,0.145323311,0.892281988,0.837664716
g272,0.145547719,-2.086298209,0.836994596
g273,0.146294616,0.854456635,0.834771657
g274,0.146488688,-1.116867799,0.834195911
g275,0.147815018,-0.662019571,0.830281439
g276,0.148333649,0.62568137,0.82876032
g277,0.148578401,-2.301576255,0.82804432
g278,0.148613865,-0.486565102,0.827940671
g279,0.149242413,-1.926480276,0.826107738
g280,0.14961345,-0.294970398,0.825029362
g281,0.149753791,0.695986049,0.824622175
g282,0.149897924,-2.206050628,0.824204382
g283,0.149916953,1.337461879,0.824149253
g284,0.150333601,1.370007642,0.82294394
g285,0.151254709,-1.503538207,0.820291096
g286,0.151426892,1.016697125,0.819796991
g287,0.152146419,1.353447656,0.817738265
g288,0.152648216,-1.257512458,0.816308267
g289,0.152705054,0.990442733,0.816146589
g290,0.153282641,1.136354206,0.814507025
g291,0.15353537,-1.676006836,0.81379156
g292,0.154162141,-1.761023547,0.812022267
g293,0.154178399,-0.921329957,0.811976468
g294,0.154724284,-1.777149329,0.810441518
g295,0.155866136,-1.173180893,0.807248231
g296,0.156554882,-2.05180786,0.805333385
g297,0.157957208,1.097629113,0.801460551
g298,0.158473826,-1.575586346,0.800042457
g299,0.160014595,-2.110235335,0.795840403
g300,0.160165195,-1.886843492,0.795431853
g301,0.160331007,1.964428371,0.79498248
g302,0.160457608,-1.57600795,0.794639686
g303,0.160785309,-0.475302654,0.793753635
g304,0.161251428,1.24473833,0.792496431
g305,0.161289959,1.10142128,0.792392668
g306,0.162717097,-0.62285809,0.788566813
g307,0.163133375,1.03689882,0.787457179
g308,0.163493471,0.748099543,0.786499586
g309,0.163786712,-1.160694309,0.785721335
g310,0.164016129,-1.543737709,0.785113442
g311,0.164807654,0.692934905,0.783022623
g312,0.164834435,-1.390760605,0.782952056
g313,0.165283613,-2.701702131,0.781770202
g314,0.16566264,1.017395638,0.780775422
g315,0.165732505,-1.515423218,0.780592305
g316,0.165896348,-0.16543178,0.780163174
g317,0.166469249,-0.714317975,0.77866598
g318,0.166984849,1.251775279,0.777322932
g319,0.167243343,-1.276822279,0.77665116
g320,0.167905646,-2.366924527,0.7749347
g321,0.168258329,-3.041960804,0.774023428
g322,0.168305429,-0.622086517,0.773901875
g323,0.168788293,-0.629453774,0.772657679
g324,0.168996661,2.398766348,0.772121876
g325,0.169672917,0.790932867,0.770387474
g326,0.169736274,-1.350904825,0.770225336
g327,0.169880548,-1.186457888,0.769856347
g328,0.170158685,-0.124961169,0.769145879
g329,0.170640965,1.476582486,0.767916702
g330,0.17174972,0.642994606,0.765103962
g331,0.17178373,-0.226089227,0.765017972
g332,0.171787273,-1.254539129,0.765009014
g333,0.172326436,-3.208932955,0.763648094
g334,0.172724741,0.380973015,0.76264545
g335,0.172827345,0.656962527,0.762387542
g336,0.172910754,1.439113357,0.762177995
g337,0.172969051,2.054460516,0.762031597
g338,0.173139081,-2.115791371,0.761604892
g339,0.173286369,0.251913555,0.761235598
g340,0.173846062,1.268380426,0.759835143
g341,0.175104782,-0.405723391,0.756701993
g342,0.175178965,-1.19816621,0.756518044
g343,0.175478463,2.196552574,0.755776178
g344,0.175823293,1.258668907,0.75492359
g345,0.1762515,-0.23453732,0.753867178
g346,0.176339877,-2.416566329,0.753649466
g347,0.177004533,0.500777144,0.752015611
g348,0.177515416,1.475484444,0.750763925
g349,0.177538417,0.422262129,0.750707657
g350,0.178150516,1.434261764,0.749212915
g351,0.178179451,-1.657059091,0.749142384
g352,0.178435976,-2.155608196,0.748517579
g353,0.178664584,-0.707708244,0.747961528
g354,0.179037208,-2.703769813,0.747056703
g355,0.179037727,-1.070352335,0.747055444
g356,0.180078198,-0.300125845,0.744538864
g357,0.180099703,-2.622470692,0.744487003
g358,0.180140432,0.477407439,0.7443888
g359,0.180398197,-0.954670072,0.743767807
g360,0.180694857,-1.144436403,0.743054208
g361,0.181797575,2.567237933,0.740411914
g362,0.182248217,0.279967261,0.739336712
g363,0.182265112,1.174464626,0.739296453
g364,0.182268635,-0.767312176,0.739288059
